frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
168,6.720,0.950833,4.516129,1.878636,9.634434,3.736607,3.736607,9.634434,2.176362,0.013284,14.946428,1.868919,1.380283
169,6.760,1.902855,7.220254,2.736912,12.474056,4.210268,4.210268,12.474056,3.305357,0.010903,16.841072,1.536112,1.686952
170,6.800,3.266852,8.730037,4.332099,8.027358,2.841964,4.332099,8.730037,2.922528,0.010772,17.328398,1.391194,1.765831
171,6.840,3.497819,9.706240,4.956637,5.500472,1.335268,4.956637,9.706240,2.704401,0.018079,19.826548,1.761756,2.170183
172,6.880,2.837232,8.888154,4.723427,4.805660,1.553571,4.723427,8.888154,4.238762,0.012020,18.893707,1.360598,2.019192
173,6.920,1.288660,4.334743,2.753570,3.894340,0.993750,2.753570,4.334743,3.127710,0.008243,11.014278,0.747595,0.743823
174,6.960,0.527557,1.437335,1.047858,2.364151,0.855357,1.047858,2.364151,0.573113,0.024663,4.191433,0.566284,-0.360527
175,7.000,0.412173,1.224484,1.231624,2.144811,0.908482,1.224484,2.144811,1.468006,0.028276,4.897938,1.199816,-0.246172
176,7.040,0.332672,1.065045,0.966949,3.063208,0.743304,0.966949,3.063208,1.515071,0.015928,3.867795,0.648289,-0.412912
177,7.080,0.266852,0.785828,0.859863,1.279245,0.452679,0.785828,1.279245,1.236383,0.012677,3.143310,0.571209,-0.530177
178,7.120,0.206780,1.124802,0.280011,2.906604,0.286607,0.286607,2.906604,0.476732,0.010788,1.146429,0.334604,-0.853394
179,7.160,0.238699,1.318879,0.622686,4.452830,0.422321,0.622686,4.452830,0.353517,0.008079,2.490746,1.245373,-0.635802
180,7.200,0.346550,1.567425,0.725806,9.120754,1.240625,1.240625,9.120754,1.031200,0.009080,4.962500,1.791882,-0.235722
181,7.240,0.402855,1.817821,0.935219,12.230660,1.970089,1.817821,12.230660,1.479464,0.018013,7.271285,1.448080,0.137980
182,7.280,0.551546,1.694077,1.327869,11.545283,2.127679,1.694077,11.545283,1.713393,0.021757,6.776309,1.061167,0.057862
183,7.320,0.970856,2.296140,2.054997,8.425943,1.212054,2.054997,8.425943,1.548123,0.036207,8.219990,1.260149,0.291538
184,7.360,0.862609,2.191433,2.074035,8.868868,1.437500,2.074035,8.868868,2.701745,0.039278,8.296140,0.976047,0.303863
185,7.400,0.199048,0.649392,0.430989,2.645755,0.456250,0.456250,2.645755,0.533929,0.012217,1.825000,0.282012,-0.743560
186,7.440,0.067010,0.299313,0.138815,1.748113,0.216964,0.216964,1.748113,0.156795,0.011576,0.867857,0.433929,-0.898484
187,7.480,0.048573,0.447382,0.114225,2.936792,0.266964,0.266964,2.936792,0.269643,0.004089,1.067857,0.533929,-0.866111
188,7.520,0.105274,0.713115,0.338445,4.658491,0.473661,0.473661,4.658491,0.338710,0.007915,1.894643,0.947321,-0.732287
189,7.560,0.097542,0.627710,0.323638,4.907547,0.716964,0.627710,4.907547,0.737946,0.011264,2.510841,1.166037,-0.632549
190,7.600,0.130452,0.685352,0.236118,4.675472,0.714732,0.685352,4.675472,0.823661,0.008752,2.741407,0.877752,-0.595230
191,7.640,0.068398,0.301957,0.209942,1.633491,0.298214,0.298214,1.633491,0.409375,0.012890,1.192857,0.483707,-0.845879
192,7.680,0.097343,0.305130,0.201745,0.795283,0.112054,0.201745,0.795283,0.222369,0.010903,0.806980,0.403490,-0.908337
193,7.720,0.124703,0.316499,0.155473,0.471226,0.150000,0.155473,0.471226,0.311740,0.007652,0.621893,0.310947,-0.938295
194,7.760,0.181404,0.638815,0.446854,0.754245,0.147321,0.446854,0.754245,0.342940,0.005698,1.787414,0.893707,-0.749643
195,7.800,0.757137,1.567425,1.148334,1.535849,0.433036,1.148334,1.567425,0.748017,0.007980,4.593337,2.105187,-0.295475
196,7.840,1.708366,3.588578,2.173982,2.183019,0.561161,2.173982,3.588578,1.388948,0.011527,8.695928,2.034645,0.368573
197,7.880,2.238303,5.635114,3.344262,1.975943,0.566964,2.238303,5.635114,2.203067,0.013448,8.953212,1.246266,0.410217
198,7.920,2.732553,7.311740,3.953993,1.651887,0.361161,2.732553,7.311740,2.319811,0.025320,10.930214,1.208325,0.730216
199,7.960,3.024584,8.225278,4.459810,5.012736,1.032589,4.459810,8.225278,2.464151,0.040788,17.839239,1.864484,1.848516
200,8.000,3.079104,9.401639,3.957165,11.063680,2.299107,3.957165,11.063680,3.202538,0.029048,15.828662,1.396641,1.523082
201,8.040,3.444885,10.043364,3.385775,15.350944,3.321429,3.444885,15.350944,2.919355,0.009540,13.779540,1.125431,1.191410
202,8.080,3.055511,7.745373,2.880486,10.511321,2.647321,3.055511,10.511321,2.769231,0.015041,12.222046,1.074260,0.939313
