frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
121,4.840,2.459159,1.336859,2.483607,1.136792,1.976786,1.976786,2.483607,3.178571,0.269294,7.340624,0.736098,-0.004893
122,4.880,1.669905,1.408250,2.072977,1.609434,1.570982,1.609434,2.072977,2.251719,0.221051,6.437736,0.592762,-0.279035
123,4.920,1.644528,1.445003,3.842147,2.271698,2.634821,2.271698,3.842147,2.545743,0.211905,9.086792,0.947042,0.215190
124,4.960,1.668914,1.257536,2.508990,1.873113,2.787500,1.873113,2.787500,3.130849,0.239589,7.492453,0.659943,-0.082260
125,5.000,1.640960,1.180063,2.384981,1.538208,1.705357,1.640960,2.384981,2.567407,0.254384,6.450713,0.575952,-0.255508
126,5.040,1.942704,1.364357,3.349550,1.763679,3.117857,1.942704,3.349550,2.057143,0.208145,7.770817,0.840170,-0.030327
127,5.080,1.741078,1.506610,3.995505,1.106132,3.657143,1.741078,3.995505,3.146511,0.179163,6.964314,0.669175,-0.180793
128,5.120,1.470262,1.405077,3.306716,2.018868,4.205357,2.018868,4.205357,2.843973,0.141199,8.075472,0.674025,0.026512
129,5.160,1.166336,1.089635,2.386832,2.267453,3.126339,2.267453,3.126339,2.628302,0.142397,9.069811,0.828706,0.212022
130,5.200,1.070579,0.742200,2.076150,1.116981,1.165179,1.116981,2.076150,1.539623,0.219442,4.467925,0.535989,-0.646535
131,5.240,1.211935,0.690904,2.140931,1.159906,1.501786,1.211935,2.140931,1.605075,0.209113,4.847740,0.770780,-0.575674
132,5.280,1.168914,0.602591,1.386304,0.689623,1.202232,1.168914,1.386304,1.604464,0.234762,4.675654,0.728400,-0.607779
133,5.320,1.322562,0.782655,1.934426,2.518868,2.622321,1.934426,2.622321,2.021808,0.281412,6.873997,1.066895,-0.036504
134,5.360,1.217288,0.885775,2.388155,4.449057,2.911607,2.388155,4.449057,2.838839,0.325386,7.339454,0.982649,0.302097
135,5.400,1.239889,0.882602,2.215494,4.443868,3.420536,2.215494,4.443868,2.722322,0.501511,4.417642,0.796774,0.173247
136,5.440,1.116178,0.767848,2.150185,3.085377,3.003572,2.150185,3.085377,2.789286,0.459343,4.680999,0.780239,0.124509
137,5.480,1.137986,0.742464,1.810153,1.161321,1.983036,1.161321,1.983036,2.169310,0.456880,2.541850,0.468407,-0.613446
138,5.520,1.101110,0.736647,1.938392,1.355660,1.554018,1.355660,1.938392,1.981364,0.533875,2.539283,0.653224,-0.468417
139,5.560,1.331483,1.168429,2.263088,1.728774,1.401339,1.401339,2.263088,2.114195,0.599524,2.337421,0.684321,-0.434328
140,5.600,1.800555,1.276838,3.662877,2.210849,3.150893,2.210849,3.662877,2.344196,1.023908,2.159226,0.991770,0.169780
141,5.640,1.579302,1.216023,3.411422,2.038208,2.624107,2.038208,3.411422,3.187550,1.109540,1.836984,0.736913,0.040944
142,5.680,1.082078,1.063194,2.362771,1.853774,2.399554,1.853774,2.399554,2.711792,0.391987,4.729173,0.628468,-0.096692
143,5.720,0.900476,0.934426,1.560550,1.278774,2.125893,1.278774,2.125893,1.602696,0.362233,3.530250,0.592781,-0.525795
144,5.760,0.811063,1.164463,2.072184,1.928774,2.114732,1.928774,2.114732,1.728451,0.300115,6.426783,1.158024,-0.040723
145,5.800,0.673077,0.655209,1.374141,1.521226,1.432589,1.374141,1.521226,1.890534,0.228883,5.496562,0.759407,-0.454626
146,5.840,0.651467,0.603120,1.552618,0.700943,1.225446,0.700943,1.552618,0.813640,0.174466,2.803774,0.518416,-0.957009
147,5.880,0.668517,0.505817,1.531729,0.785377,1.337500,0.785377,1.531729,0.945876,0.132939,3.141510,0.892720,-0.893999
148,5.920,0.517446,0.497620,1.050767,0.698585,0.911161,0.698585,1.050767,1.023196,0.207947,2.794340,0.709557,-0.958769
149,5.960,0.476209,0.371497,1.011899,0.825000,1.100446,0.825000,1.100446,0.978390,0.153087,3.300000,0.824346,-0.864430
150,6.000,0.644925,0.677948,1.564252,0.773585,1.534821,0.773585,1.564252,0.919508,0.101018,3.094340,0.815202,-0.902799
