frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
147,5.880,0.459754,1.289794,0.689053,2.077830,0.655804,0.689053,2.077830,1.159704,0.037209,2.756214,0.579093,-0.707732
148,5.920,0.412173,1.924379,0.699365,5.134906,1.180357,1.180357,5.134906,1.436277,0.043695,4.721428,0.909373,-0.254425
149,5.960,0.270024,1.386304,0.716023,4.923113,1.006250,1.006250,4.923113,1.348214,0.052660,4.025000,0.722753,-0.415067
150,6.000,0.151071,1.195399,0.503966,4.157547,0.447768,0.503966,4.157547,0.667636,0.042430,2.015865,0.500004,-0.878505
151,6.040,0.052339,0.726600,0.281861,2.834434,0.437500,0.437500,2.834434,0.319672,0.017521,1.750000,0.875000,-0.939831
152,6.080,0.113997,0.631148,0.345584,1.069811,0.325893,0.345584,1.069811,0.362946,0.022808,1.382337,0.691169,-1.024638
153,6.120,0.088818,0.682708,0.332099,2.772170,0.429464,0.429464,2.772170,0.225013,0.028966,1.717857,0.858929,-0.947245
154,6.160,0.185171,1.194342,0.476467,6.766038,0.993304,0.993304,6.766038,0.409375,0.022890,3.973214,1.986607,-0.427012
155,6.200,0.878271,2.460074,0.940508,7.903774,1.295089,1.295089,7.903774,1.255357,0.042939,5.180357,1.555913,-0.148566
156,6.240,2.597938,5.196986,2.874141,9.396227,1.641964,2.874141,9.396227,1.325489,0.030016,11.496563,2.227285,1.308365
157,6.280,3.046788,6.906134,3.731888,5.591038,0.827232,3.731888,6.906134,2.807296,0.039655,14.927551,1.805992,2.099776
158,6.320,2.697661,7.692226,4.315970,8.991982,1.069196,4.315970,8.991982,2.936013,0.046913,17.263882,1.502956,2.638687
159,6.360,2.964314,8.115547,4.076943,8.055660,1.190179,4.076943,8.115547,2.575621,0.042250,16.307774,1.479396,2.418146
160,6.400,2.565424,7.564252,4.310418,4.161792,1.474554,4.161792,7.564252,2.953199,0.040427,16.647169,1.505490,2.496433
161,6.440,2.129857,5.609201,3.012692,4.334906,1.207143,3.012692,5.609201,2.501322,0.041609,12.050767,1.104659,1.436201
162,6.480,1.548969,4.292967,2.658646,6.577830,2.316518,2.658646,6.577830,2.063458,0.030870,10.634584,1.164852,1.109537
163,6.520,1.007534,5.112110,2.415389,9.438208,3.945982,3.945982,9.438208,1.938839,0.024893,15.783929,1.971858,2.297313
164,6.560,0.615186,4.265468,2.340296,7.380661,3.085268,3.085268,7.380661,3.563839,0.012085,12.341071,1.121369,1.503164
165,6.600,0.456979,2.464040,1.297197,2.587264,1.324554,1.324554,2.587264,1.763839,0.029179,5.298214,0.497235,-0.121380
166,6.640,0.411578,2.276309,1.026441,2.325000,1.774554,1.774554,2.325000,0.833929,0.014762,7.098214,1.366214,0.293818
167,6.680,0.574346,2.879693,1.392385,2.801887,3.017857,2.801887,3.017857,1.471226,0.038637,11.207547,2.430975,1.241699
168,6.720,0.814433,3.301957,1.445267,3.672642,3.598214,3.301957,3.672642,2.459016,0.029245,13.207827,1.680281,1.703095
169,6.760,1.882236,5.242729,2.231359,4.924528,3.190625,3.190625,5.242729,2.371428,0.017915,12.762500,1.321048,1.600373
170,6.800,3.232355,7.449498,3.554204,4.781132,2.177232,3.554204,7.449498,2.393707,0.019228,14.216817,1.491754,1.935834
171,6.840,3.462332,8.958223,4.213644,4.688208,1.607589,4.213644,8.958223,3.208355,0.023727,16.854574,1.504319,2.544274
172,6.880,2.733941,7.736912,4.043099,3.700472,1.429018,3.700472,7.736912,3.198837,0.021281,14.801887,1.155099,2.070790
173,6.920,1.195083,4.003173,2.363829,4.371698,1.459821,2.363829,4.371698,2.644368,0.025649,9.455315,0.809086,0.837520
174,6.960,0.519231,1.491539,1.067160,1.978774,0.644196,1.067160,1.978774,0.869910,0.048128,4.268641,0.607328,-0.358867
175,7.000,0.404837,1.286092,0.966949,1.359906,0.907143,0.966949,1.359906,1.570755,0.045353,3.867795,0.792365,-0.451329
176,7.040,0.335052,1.210735,0.858012,1.137736,0.467411,0.858012,1.210735,1.114754,0.018933,3.432047,0.638994,-0.551841
177,7.080,0.309477,1.031994,0.888419,1.619811,0.428125,0.888419,1.619811,1.273400,0.019770,3.553675,0.744021,-0.523785
178,7.120,0.208168,0.913009,0.534638,3.131604,0.995089,0.913009,3.131604,0.713644,0.020969,3.652036,0.918962,-0.501097
179,7.160,0.197462,1.384717,0.690111,5.674057,1.185714,1.185714,5.674057,0.775893,0.018161,4.742857,1.592058,-0.249482
